[2026-07-06T01:04:44.571Z] GET http://localhost:5173/node_modules/.vite/deps/react-router-dom.js?v=b6b7d5c4 → 200 (19ms, -266B)
[2026-07-06T01:04:44.571Z] GET http://localhost:5173/src/layouts/SuperAdminLayout.tsx → 200 (54ms, ?B)
[2026-07-06T01:04:44.571Z] GET http://localhost:5173/src/pages/Dashboard.tsx → 200 (102ms, ?B)
[2026-07-06T01:04:44.571Z] GET http://localhost:5173/src/pages/Login.tsx → 200 (65ms, 12620B)
[2026-07-06T01:04:44.571Z] GET http://localhost:5173/src/pages/Users.tsx → 200 (51ms, 24800B)
[2026-07-06T01:04:44.571Z] GET http://localhost:5173/src/pages/Merchants.tsx → 200 (58ms, 27428B)
[2026-07-06T01:04:44.571Z] GET http://localhost:5173/src/pages/Orders.tsx → 200 (68ms, 21735B)
[2026-07-06T01:04:44.571Z] GET http://localhost:5173/src/pages/Zones.tsx → 200 (67ms, 20318B)
[2026-07-06T01:04:44.571Z] GET http://localhost:5173/src/pages/Settings.tsx → 200 (69ms, 34246B)
[2026-07-06T01:04:44.571Z] GET http://localhost:5173/src/pages/Modules.tsx → 200 (69ms, 16921B)
[2026-07-06T01:04:44.571Z] GET http://localhost:5173/src/pages/Drivers.tsx → 200 (72ms, 24117B)
[2026-07-06T01:04:44.571Z] GET http://localhost:5173/src/pages/Finance.tsx → 200 (72ms, 31107B)
[2026-07-06T01:04:44.571Z] GET http://localhost:5173/src/components/ProtectedRoute.tsx → 200 (76ms, ?B)
[2026-07-06T01:04:44.571Z] GET http://localhost:5173/src/contexts/AuthContext.tsx → 200 (78ms, ?B)
[2026-07-06T01:04:44.623Z] GET http://localhost:5173/src/lib/supabase.ts → 200 (155ms, ?B)
[2026-07-06T01:04:44.623Z] GET http://localhost:5173/node_modules/.vite/deps/lucide-react.js?v=b6b7d5c4 → 200 (64ms, -267B)
[2026-07-06T01:04:44.623Z] GET http://localhost:5173/src/components/UserModal.tsx → 200 (187ms, 21445B)
[2026-07-06T01:04:44.623Z] GET http://localhost:5173/src/components/EditUserModal.tsx → 200 (182ms, 18424B)
[2026-07-06T01:04:44.625Z] GET http://localhost:5173/src/components/Sidebar.tsx → 200 (184ms, 8826B)
[2026-07-06T01:04:44.625Z] GET http://localhost:5173/src/components/Header.tsx → 200 (185ms, ?B)
[2026-07-06T01:04:44.631Z] GET http://localhost:5173/src/components/MerchantModal.tsx → 200 (177ms, 17253B)
[2026-07-06T01:04:44.631Z] GET http://localhost:5173/src/components/EditMerchantModal.tsx → 200 (178ms, 18252B)
[2026-07-06T01:04:44.640Z] GET http://localhost:5173/src/components/ZoneModal.tsx → 200 (175ms, 12780B)
[2026-07-06T01:04:44.640Z] GET http://localhost:5173/src/components/EditZoneModal.tsx → 200 (173ms, 13537B)
[2026-07-06T01:04:44.675Z] GET http://localhost:5173/node_modules/.vite/deps/recharts.js?v=b6b7d5c4 → 200 (85ms, -267B)
[2026-07-06T01:04:44.675Z] GET http://localhost:5173/src/data/dashboard.ts → 200 (141ms, ?B)
[2026-07-06T01:04:44.675Z] GET http://localhost:5173/src/data/modules.ts → 200 (144ms, ?B)
[2026-07-06T01:04:44.675Z] GET http://localhost:5173/src/components/ui/Card.tsx → 200 (163ms, ?B)
[2026-07-06T01:04:44.675Z] GET http://localhost:5173/src/components/ui/DeltaPill.tsx → 200 (164ms, ?B)
[2026-07-06T01:04:44.675Z] GET http://localhost:5173/src/components/ui/Sparkline.tsx → 200 (155ms, ?B)
[2026-07-06T01:04:44.675Z] GET http://localhost:5173/src/components/ui/StatusBadge.tsx → 200 (166ms, ?B)
[2026-07-06T01:04:44.675Z] GET http://localhost:5173/src/lib/utils.ts → 200 (146ms, ?B)
[2026-07-06T01:04:44.740Z] GET http://localhost:5173/node_modules/vite/dist/client/env.mjs → 200 (92ms, ?B)
[2026-07-06T01:04:44.760Z] GET http://localhost:5173/node_modules/.vite/deps/clsx.js?v=b6b7d5c4 → 200 (1ms, -261B)
[2026-07-06T01:04:44.778Z] GET http://localhost:5173/node_modules/.vite/deps/@supabase_supabase-js.js?v=b6b7d5c4 → 200 (25ms, -266B)
[2026-07-06T01:04:44.805Z] GET http://localhost:5173/src/components/Modal.tsx → 200 (53ms, ?B)
[2026-07-06T01:04:44.821Z] GET http://localhost:5173/node_modules/.vite/deps/tailwind-merge.js?v=b6b7d5c4 → 200 (5ms, -265B)
[2026-07-06T01:04:44.841Z] GET http://localhost:5173/src/components/ui/Badge.tsx → 200 (19ms, ?B)
[2026-07-06T01:04:44.989Z] GET https://fonts.gstatic.com/s/ibmplexsans/v23/zYXzKVElMYYaJe8bpLHnCwDKr932-G7dytD-Dmu1syxeKYY.woff2 → 200 (7ms, -815B)
[2026-07-06T01:04:54.366Z] GET http://localhost:5173/login → 200 (8ms, ?B)
[2026-07-06T01:04:54.385Z] GET http://localhost:5173/@vite/client → 304 (2ms, ?B)
[2026-07-06T01:04:54.385Z] GET https://fonts.googleapis.com/css2?family=IBM+Plex+Mono:wght@400;500;600;700&family=IBM+Plex+Sans:wght@400;500;600;700&family=IBM+Plex+Sans+Arabic:wght@400;500;600;700&display=swap → 200 (?ms, -698B)
[2026-07-06T01:04:54.386Z] GET http://localhost:5173/src/main.tsx → 304 (6ms, ?B)
[2026-07-06T01:04:54.391Z] GET https://fonts.gstatic.com/s/ibmplexsans/v23/zYXzKVElMYYaJe8bpLHnCwDKr932-G7dytD-Dmu1syxeKYY.woff2 → 200 (?ms, -815B)
[2026-07-06T01:04:54.392Z] GET http://localhost:5173/@react-refresh → 304 (9ms, ?B)
[2026-07-06T01:04:54.392Z] GET http://localhost:5173/node_modules/vite/dist/client/env.mjs → 304 (10ms, ?B)
[2026-07-06T01:04:54.393Z] GET http://localhost:5173/node_modules/.vite/deps/react.js?v=b6b7d5c4 → 200 (?ms, -264B)
[2026-07-06T01:04:54.393Z] GET http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=b6b7d5c4 → 200 (?ms, -266B)
[2026-07-06T01:04:54.393Z] GET http://localhost:5173/src/index.css → 304 (9ms, ?B)
[2026-07-06T01:04:54.394Z] GET http://localhost:5173/src/App.tsx → 304 (10ms, ?B)
[2026-07-06T01:04:54.394Z] GET http://localhost:5173/src/i18n/config.ts → 304 (10ms, ?B)
[2026-07-06T01:04:54.394Z] GET http://localhost:5173/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=b6b7d5c4 → 200 (1ms, -263B)
[2026-07-06T01:04:54.395Z] GET http://localhost:5173/node_modules/.vite/deps/rolldown-runtime-B-1-B7_t.js?v=b6b7d5c4 → 200 (?ms, -261B)
[2026-07-06T01:04:54.396Z] GET http://localhost:5173/node_modules/.vite/deps/react-dom.js?v=b6b7d5c4 → 200 (?ms, -263B)
[2026-07-06T01:04:54.409Z] GET http://localhost:5173/node_modules/.vite/deps/react-router-dom.js?v=b6b7d5c4 → 200 (?ms, -266B)
[2026-07-06T01:04:54.410Z] GET http://localhost:5173/src/layouts/SuperAdminLayout.tsx → 304 (10ms, ?B)
[2026-07-06T01:04:54.410Z] GET http://localhost:5173/src/pages/Dashboard.tsx → 304 (14ms, ?B)
[2026-07-06T01:04:54.410Z] GET http://localhost:5173/src/pages/Login.tsx → 304 (28ms, ?B)
[2026-07-06T01:04:54.410Z] GET http://localhost:5173/src/pages/Users.tsx → 304 (24ms, ?B)
[2026-07-06T01:04:54.410Z] GET http://localhost:5173/src/pages/Merchants.tsx → 304 (28ms, ?B)
[2026-07-06T01:04:54.410Z] GET http://localhost:5173/src/pages/Orders.tsx → 304 (33ms, ?B)
[2026-07-06T01:04:54.410Z] GET http://localhost:5173/src/pages/Zones.tsx → 304 (34ms, ?B)
[2026-07-06T01:04:54.410Z] GET http://localhost:5173/src/pages/Settings.tsx → 304 (36ms, ?B)
[2026-07-06T01:04:54.410Z] GET http://localhost:5173/src/pages/Modules.tsx → 304 (33ms, ?B)
[2026-07-06T01:04:54.410Z] GET http://localhost:5173/src/pages/Drivers.tsx → 304 (34ms, ?B)
[2026-07-06T01:04:54.410Z] GET http://localhost:5173/src/pages/Finance.tsx → 304 (36ms, ?B)
[2026-07-06T01:04:54.410Z] GET http://localhost:5173/src/components/ProtectedRoute.tsx → 304 (36ms, ?B)
[2026-07-06T01:04:54.410Z] GET http://localhost:5173/src/contexts/AuthContext.tsx → 304 (36ms, ?B)
[2026-07-06T01:04:54.411Z] GET http://localhost:5173/node_modules/.vite/deps/i18next.js?v=b6b7d5c4 → 200 (?ms, -265B)
[2026-07-06T01:04:54.411Z] GET http://localhost:5173/node_modules/.vite/deps/react-i18next.js?v=b6b7d5c4 → 200 (1ms, -264B)
[2026-07-06T01:04:54.412Z] GET http://localhost:5173/node_modules/.vite/deps/shim-DO6Qh8OF.js?v=b6b7d5c4 → 200 (?ms, -262B)
[2026-07-06T01:04:54.421Z] GET http://localhost:5173/src/components/Sidebar.tsx → 304 (28ms, ?B)
[2026-07-06T01:04:54.421Z] GET http://localhost:5173/src/components/Header.tsx → 304 (29ms, ?B)
[2026-07-06T01:04:54.425Z] GET http://localhost:5173/node_modules/.vite/deps/recharts.js?v=b6b7d5c4 → 200 (1ms, -267B)
[2026-07-06T01:04:54.426Z] GET http://localhost:5173/node_modules/.vite/deps/lucide-react.js?v=b6b7d5c4 → 200 (?ms, -267B)
[2026-07-06T01:04:54.427Z] GET http://localhost:5173/src/data/dashboard.ts → 304 (23ms, ?B)
[2026-07-06T01:04:54.427Z] GET http://localhost:5173/src/data/modules.ts → 304 (24ms, ?B)
[2026-07-06T01:04:54.427Z] GET http://localhost:5173/src/components/ui/Card.tsx → 304 (28ms, ?B)
[2026-07-06T01:04:54.427Z] GET http://localhost:5173/src/components/ui/DeltaPill.tsx → 304 (31ms, ?B)
[2026-07-06T01:04:54.427Z] GET http://localhost:5173/src/components/ui/Sparkline.tsx → 304 (31ms, ?B)
[2026-07-06T01:04:54.427Z] GET http://localhost:5173/src/components/ui/StatusBadge.tsx → 304 (32ms, ?B)
[2026-07-06T01:04:54.427Z] GET http://localhost:5173/src/lib/utils.ts → 304 (32ms, ?B)
[2026-07-06T01:04:54.428Z] GET http://localhost:5173/node_modules/.vite/deps/clsx.js?v=b6b7d5c4 → 200 (?ms, -261B)
[2026-07-06T01:04:54.436Z] GET http://localhost:5173/src/lib/supabase.ts → 304 (23ms, ?B)
[2026-07-06T01:04:54.436Z] GET http://localhost:5173/src/components/UserModal.tsx → 304 (23ms, ?B)
[2026-07-06T01:04:54.436Z] GET http://localhost:5173/src/components/EditUserModal.tsx → 304 (23ms, ?B)
[2026-07-06T01:04:54.439Z] GET http://localhost:5173/src/components/MerchantModal.tsx → 304 (20ms, ?B)
[2026-07-06T01:04:54.439Z] GET http://localhost:5173/src/components/EditMerchantModal.tsx → 304 (20ms, ?B)
